"counts","number of items in equivalence class","isoforms in equivalence class"
1,11,"ENST00000227266,ENST00000527018,ENST00000676612,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679224"
69,10,"ENST00000227266,ENST00000527018,ENST00000676612,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679224"
1,4,"ENST00000227266,ENST00000527018,ENST00000678464,ENST00000678506"
4,4,"ENST00000227266,ENST00000527018,ENST00000678464,ENST00000679032"
404,11,"ENST00000227266,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678915,ENST00000679224"
147,10,"ENST00000227266,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000679224"
26,10,"ENST00000227266,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678506,ENST00000678520,ENST00000678915,ENST00000679224"
150,9,"ENST00000227266,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678506,ENST00000678520,ENST00000679224"
1,2,"ENST00000227266,ENST00000677802"
1,3,"ENST00000227266,ENST00000677802,ENST00000678506"
5,2,"ENST00000227266,ENST00000678464"
1,3,"ENST00000227266,ENST00000678464,ENST00000679032"
1,4,"ENST00000227266,ENST00000678464,ENST00000679032,ENST00000679199"
2,2,"ENST00000227266,ENST00000678506"
424,1,"ENST00000227322"
3,4,"ENST00000227322,ENST00000260264,ENST00000534408,ENST00000543440"
2,3,"ENST00000227322,ENST00000260264,ENST00000543440"
1,6,"ENST00000227322,ENST00000311956,ENST00000527614,ENST00000532258,ENST00000537364,ENST00000648582"
3,2,"ENST00000227322,ENST00000425791"
29,5,"ENST00000227322,ENST00000425791,ENST00000429220,ENST00000431973,ENST00000444935"
10,4,"ENST00000227322,ENST00000425791,ENST00000429220,ENST00000444935"
31,4,"ENST00000227322,ENST00000425791,ENST00000431973,ENST00000444935"
10,3,"ENST00000227322,ENST00000425791,ENST00000444935"
15,2,"ENST00000227322,ENST00000429220"
9,4,"ENST00000227322,ENST00000429220,ENST00000431973,ENST00000444935"
6,5,"ENST00000227322,ENST00000429220,ENST00000431973,ENST00000444935,ENST00000449430"
334,3,"ENST00000227322,ENST00000429220,ENST00000444935"
95,4,"ENST00000227322,ENST00000429220,ENST00000444935,ENST00000449430"
9,3,"ENST00000227322,ENST00000429220,ENST00000449430"
21,2,"ENST00000227322,ENST00000444935"
29,3,"ENST00000227322,ENST00000444935,ENST00000449430"
4,2,"ENST00000227348,ENST00000533709"
12,1,"ENST00000227349"
1,6,"ENST00000227349,ENST00000260264,ENST00000294053,ENST00000325656,ENST00000538039,ENST00000543440"
1,5,"ENST00000227349,ENST00000260264,ENST00000294053,ENST00000538039,ENST00000543440"
1,2,"ENST00000227349,ENST00000307257"
5,3,"ENST00000227349,ENST00000307257,ENST00000531316"
4084,1,"ENST00000227378"
1837,8,"ENST00000227378,ENST00000453788,ENST00000524552,ENST00000526110,ENST00000532636,ENST00000533540,ENST00000534319,ENST00000534624"
389,14,"ENST00000227378,ENST00000453788,ENST00000524590,ENST00000525463,ENST00000525624,ENST00000526110,ENST00000527387,ENST00000528292,ENST00000530391,ENST00000532182,ENST00000532636,ENST00000533540,ENST00000534567,ENST00000534624"
