"counts","number of items in equivalence class","isoforms in equivalence class"
12,10,"ENST00000528498,ENST00000528900,ENST00000530131,ENST00000530301,ENST00000530749,ENST00000544551,ENST00000645312,ENST00000645495,ENST00000646663,ENST00000647231"
42,10,"ENST00000528498,ENST00000528900,ENST00000530131,ENST00000530749,ENST00000544551,ENST00000645312,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231"
43,9,"ENST00000528498,ENST00000528900,ENST00000530131,ENST00000530749,ENST00000544551,ENST00000645312,ENST00000645495,ENST00000646663,ENST00000647231"
128,9,"ENST00000528498,ENST00000528900,ENST00000530131,ENST00000530749,ENST00000544551,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231"
20,9,"ENST00000528498,ENST00000530131,ENST00000530301,ENST00000530749,ENST00000544551,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231"
3,8,"ENST00000528498,ENST00000530131,ENST00000530301,ENST00000530749,ENST00000544551,ENST00000645495,ENST00000646663,ENST00000647231"
73,9,"ENST00000528498,ENST00000530131,ENST00000530749,ENST00000534683,ENST00000544551,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231"
108,8,"ENST00000528498,ENST00000530131,ENST00000530749,ENST00000544551,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231"
1,5,"ENST00000528498,ENST00000530131,ENST00000530749,ENST00000645495,ENST00000647231"
3,8,"ENST00000528498,ENST00000530301,ENST00000530749,ENST00000532118,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231"
9,4,"ENST00000528498,ENST00000530301,ENST00000530749,ENST00000544551"
8,7,"ENST00000528498,ENST00000530301,ENST00000530749,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231"
95,2,"ENST00000528498,ENST00000530749"
23,7,"ENST00000528498,ENST00000530749,ENST00000534683,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231"
4,6,"ENST00000528498,ENST00000530749,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231"
1,4,"ENST00000528498,ENST00000530749,ENST00000645495,ENST00000647231"
1,3,"ENST00000528498,ENST00000530749,ENST00000645527"
7,1,"ENST00000528499"
1,2,"ENST00000528499,ENST00000533616"
116,1,"ENST00000528501"
15,1,"ENST00000528508"
106,1,"ENST00000528509"
2,1,"ENST00000528511"
1,8,"ENST00000528511,ENST00000529513,ENST00000529844,ENST00000532852,ENST00000533047,ENST00000534704,ENST00000679412,ENST00000679695"
2,6,"ENST00000528511,ENST00000529513,ENST00000529844,ENST00000532852,ENST00000679412,ENST00000679695"
4,4,"ENST00000528511,ENST00000532852,ENST00000679412,ENST00000679695"
2,2,"ENST00000528511,ENST00000679412"
6,1,"ENST00000528513"
27,3,"ENST00000528513,ENST00000672037,ENST00000673097"
7,1,"ENST00000528516"
1,2,"ENST00000528516,ENST00000530866"
13,1,"ENST00000528521"
6,1,"ENST00000528522"
4,1,"ENST00000528538"
2,2,"ENST00000528538,ENST00000543178"
1,1,"ENST00000528540"
7,1,"ENST00000528542"
4,1,"ENST00000528544"
11,1,"ENST00000528545"
1,2,"ENST00000528545,ENST00000531601"
19,1,"ENST00000528555"
4,1,"ENST00000528556"
1,2,"ENST00000528556,ENST00000533678"
5,1,"ENST00000528559"
98,1,"ENST00000528562"
1,2,"ENST00000528562,ENST00000532082"
1,1,"ENST00000528567"
2,1,"ENST00000528570"
1,2,"ENST00000528570,ENST00000533501"
6,1,"ENST00000528571"
54,1,"ENST00000528575"
4,1,"ENST00000528581"
5,1,"ENST00000528582"
2,2,"ENST00000528582,ENST00000534801"
29,1,"ENST00000528586"
7,2,"ENST00000528586,ENST00000648610"
52,1,"ENST00000528588"
11,1,"ENST00000528592"
2,2,"ENST00000528592,ENST00000528633"
6,4,"ENST00000528592,ENST00000528633,ENST00000529248,ENST00000530617"
5,2,"ENST00000528592,ENST00000530617"
1,1,"ENST00000528594"
1,2,"ENST00000528594,ENST00000600882"
12,1,"ENST00000528598"
1,1,"ENST00000528600"
6,1,"ENST00000528606"
2,1,"ENST00000528609"
126,1,"ENST00000528615"
6,1,"ENST00000528621"
6,1,"ENST00000528626"
101,1,"ENST00000528630"
2,1,"ENST00000528632"
3,1,"ENST00000528633"
333,1,"ENST00000528634"
2,1,"ENST00000528635"
1,2,"ENST00000528635,ENST00000529907"
89,1,"ENST00000528641"
1,2,"ENST00000528641,ENST00000682699"
3,3,"ENST00000528641,ENST00000683237,ENST00000684006"
1,4,"ENST00000528644,ENST00000529313,ENST00000531172,ENST00000533773"
1,3,"ENST00000528644,ENST00000529313,ENST00000533773"
50,1,"ENST00000528655"
1,2,"ENST00000528656,ENST00000616714"
4,1,"ENST00000528657"
3,2,"ENST00000528657,ENST00000531754"
1,2,"ENST00000528657,ENST00000642892"
6,1,"ENST00000528665"
1,2,"ENST00000528665,ENST00000533412"
1,1,"ENST00000528670"
15,1,"ENST00000528672"
100,1,"ENST00000528673"
12,1,"ENST00000528674"
8,2,"ENST00000528674,ENST00000529030"
19,1,"ENST00000528679"
8,2,"ENST00000528679,ENST00000531673"
4,1,"ENST00000528697"
19,1,"ENST00000528700"
1,2,"ENST00000528700,ENST00000651785"
11,2,"ENST00000528700,ENST00000652086"
17,1,"ENST00000528708"
1,2,"ENST00000528708,ENST00000529439"
2,1,"ENST00000528722"
67,1,"ENST00000528723"
49,1,"ENST00000528724"
1,4,"ENST00000528724,ENST00000529609,ENST00000531909,ENST00000682305"
8,3,"ENST00000528724,ENST00000531909,ENST00000682305"
1,2,"ENST00000528724,ENST00000682305"
2,4,"ENST00000528725,ENST00000680554,ENST00000680742,ENST00000681158"
1,1,"ENST00000528728"
5,1,"ENST00000528736"
191,1,"ENST00000528737"
3,9,"ENST00000528737,ENST00000529985,ENST00000674617,ENST00000675163,ENST00000675806,ENST00000676340,ENST00000676459,ENST00000682018,ENST00000684135"
2,7,"ENST00000528737,ENST00000529985,ENST00000674617,ENST00000675163,ENST00000675806,ENST00000676340,ENST00000682018"
2,5,"ENST00000528737,ENST00000529985,ENST00000675163,ENST00000675806,ENST00000682018"
5,2,"ENST00000528737,ENST00000533703"
2,5,"ENST00000528737,ENST00000533703,ENST00000674617,ENST00000675806,ENST00000676340"
12,5,"ENST00000528737,ENST00000675163,ENST00000675806,ENST00000676340,ENST00000676459"
1,2,"ENST00000528737,ENST00000675806"
1,3,"ENST00000528737,ENST00000675806,ENST00000682018"
16,2,"ENST00000528737,ENST00000676340"
2,2,"ENST00000528737,ENST00000676459"
1,1,"ENST00000528743"
65,1,"ENST00000528746"
18,1,"ENST00000528750"
14,1,"ENST00000528752"
22,1,"ENST00000528759"
2,2,"ENST00000528759,ENST00000533655"
16,1,"ENST00000528760"
16,1,"ENST00000528770"
116,1,"ENST00000528775"
1,4,"ENST00000528775,ENST00000680010,ENST00000680331,ENST00000681638"
1,2,"ENST00000528775,ENST00000681328"
1,2,"ENST00000528775,ENST00000681339"
8,1,"ENST00000528776"
2,2,"ENST00000528776,ENST00000530018"
499,1,"ENST00000528780"
1,3,"ENST00000528780,ENST00000679380,ENST00000681938"
8,2,"ENST00000528780,ENST00000679765"
2,1,"ENST00000528786"
1,2,"ENST00000528786,ENST00000640077"
7,1,"ENST00000528796"
188,1,"ENST00000528798"
29,3,"ENST00000528798,ENST00000531074,ENST00000534355"
46,2,"ENST00000528798,ENST00000534355"
7,1,"ENST00000528802"
3,1,"ENST00000528805"
60,1,"ENST00000528815"
1,5,"ENST00000528815,ENST00000687792,ENST00000687890,ENST00000691652,ENST00000693238"
22,4,"ENST00000528815,ENST00000687792,ENST00000687890,ENST00000693238"
6,1,"ENST00000528829"
1,1,"ENST00000528830"
1,1,"ENST00000528832"
32,1,"ENST00000528835"
53,1,"ENST00000528837"
126,1,"ENST00000528839"
5,1,"ENST00000528845"
3,2,"ENST00000528845,ENST00000531205"
3,2,"ENST00000528846,ENST00000614153"
4,3,"ENST00000528846,ENST00000614153,ENST00000638573"
1117,1,"ENST00000528847"
1,2,"ENST00000528847,ENST00000531188"
1,2,"ENST00000528847,ENST00000532872"
4,1,"ENST00000528848"
77,1,"ENST00000528850"
25,1,"ENST00000528853"
3,1,"ENST00000528862"
61,1,"ENST00000528865"
2,1,"ENST00000528867"
1,1,"ENST00000528874"
82,1,"ENST00000528882"
39,1,"ENST00000528883"
1,3,"ENST00000528883,ENST00000530081,ENST00000684123"
2,1,"ENST00000528884"
1,1,"ENST00000528886"
1,1,"ENST00000528898"
28,1,"ENST00000528900"
6,2,"ENST00000528900,ENST00000530131"
3,3,"ENST00000528900,ENST00000530131,ENST00000645312"
1,4,"ENST00000528900,ENST00000530301,ENST00000646663,ENST00000647231"
9,2,"ENST00000528900,ENST00000645312"
164,1,"ENST00000528906"
9,1,"ENST00000528910"
5,3,"ENST00000528910,ENST00000529308,ENST00000530267"
1,3,"ENST00000528910,ENST00000529308,ENST00000530546"
1,1,"ENST00000528924"
3,1,"ENST00000528931"
16,2,"ENST00000528931,ENST00000646065"
51,1,"ENST00000528935"
7,1,"ENST00000528947"
69,1,"ENST00000528950"
17,2,"ENST00000528950,ENST00000533727"
839,1,"ENST00000528954"
2,2,"ENST00000528954,ENST00000530561"
172,1,"ENST00000528964"
5,2,"ENST00000528964,ENST00000556575"
1,2,"ENST00000528968,ENST00000531291"
180,1,"ENST00000528969"
8,1,"ENST00000528974"
3,2,"ENST00000528974,ENST00000529871"
2,2,"ENST00000528974,ENST00000532439"
140,1,"ENST00000528981"
1,2,"ENST00000528981,ENST00000532635"
7,1,"ENST00000528985"
2,1,"ENST00000528989"
4,1,"ENST00000528990"
9,1,"ENST00000528993"
4,2,"ENST00000528993,ENST00000682978"
18,1,"ENST00000528995"
259,1,"ENST00000529002"
589,1,"ENST00000529006"
89,1,"ENST00000529010"
15,1,"ENST00000529016"
30,1,"ENST00000529024"
3,2,"ENST00000529024,ENST00000532963"
9,1,"ENST00000529030"
98,1,"ENST00000529032"
2,2,"ENST00000529032,ENST00000533248"
1,1,"ENST00000529044"
5,1,"ENST00000529047"
44,1,"ENST00000529051"
1,1,"ENST00000529052"
6,1,"ENST00000529055"
5,3,"ENST00000529055,ENST00000530067,ENST00000532837"
18,1,"ENST00000529063"
1,2,"ENST00000529063,ENST00000650171"
1,1,"ENST00000529066"
2,1,"ENST00000529068"
1,2,"ENST00000529068,ENST00000531308"
23,1,"ENST00000529073"
1,2,"ENST00000529073,ENST00000529611"
1,3,"ENST00000529073,ENST00000529611,ENST00000529745"
2,2,"ENST00000529073,ENST00000529856"
24,1,"ENST00000529106"
22,1,"ENST00000529112"
88,1,"ENST00000529113"
109,1,"ENST00000529115"
1,3,"ENST00000529115,ENST00000531149,ENST00000532055"
30,1,"ENST00000529120"
18,1,"ENST00000529133"
3,1,"ENST00000529137"
2,2,"ENST00000529137,ENST00000534136"
3,1,"ENST00000529139"
2,3,"ENST00000529139,ENST00000679697,ENST00000680399"
1,2,"ENST00000529139,ENST00000680399"
1,3,"ENST00000529139,ENST00000680399,ENST00000681221"
24,1,"ENST00000529151"
6,1,"ENST00000529154"
7,1,"ENST00000529167"
1,2,"ENST00000529167,ENST00000640554"
4,1,"ENST00000529177"
41,1,"ENST00000529180"
12,2,"ENST00000529180,ENST00000534124"
25,1,"ENST00000529184"
23,1,"ENST00000529185"
17,1,"ENST00000529187"
265,1,"ENST00000529191"
1,6,"ENST00000529191,ENST00000529548,ENST00000529631,ENST00000530019,ENST00000532829,ENST00000620041"
41,4,"ENST00000529191,ENST00000529631,ENST00000530019,ENST00000532829"
3,5,"ENST00000529191,ENST00000529631,ENST00000530019,ENST00000532829,ENST00000534180"
1,5,"ENST00000529191,ENST00000529631,ENST00000530019,ENST00000532829,ENST00000620041"
2,1,"ENST00000529192"
269,1,"ENST00000529196"
9,2,"ENST00000529196,ENST00000531491"
7,1,"ENST00000529197"
7,1,"ENST00000529221"
5,1,"ENST00000529225"
14,1,"ENST00000529228"
2,2,"ENST00000529228,ENST00000533036"
425,1,"ENST00000529230"
2,3,"ENST00000529237,ENST00000531807,ENST00000537760"
207,2,"ENST00000529237,ENST00000537760"
26,1,"ENST00000529248"
1,2,"ENST00000529248,ENST00000530617"
17,1,"ENST00000529256"
1141,1,"ENST00000529259"
6,2,"ENST00000529259,ENST00000531743"
32,1,"ENST00000529270"
1,2,"ENST00000529270,ENST00000530799"
52,1,"ENST00000529275"
1,1,"ENST00000529276"
104,1,"ENST00000529281"
27,2,"ENST00000529281,ENST00000529294"
29,3,"ENST00000529281,ENST00000529294,ENST00000531571"
5,2,"ENST00000529281,ENST00000531571"
22,1,"ENST00000529292"
32,1,"ENST00000529294"
1,2,"ENST00000529294,ENST00000531543"
2,3,"ENST00000529294,ENST00000531543,ENST00000531571"
14,2,"ENST00000529294,ENST00000531571"
10,1,"ENST00000529306"
2,2,"ENST00000529306,ENST00000529368"
588,1,"ENST00000529307"
52,1,"ENST00000529308"
1,2,"ENST00000529308,ENST00000530546"
25,1,"ENST00000529309"
8,2,"ENST00000529309,ENST00000531557"
15,1,"ENST00000529312"
1,3,"ENST00000529312,ENST00000529689,ENST00000529856"
22,1,"ENST00000529313"
2,3,"ENST00000529313,ENST00000530527,ENST00000533738"
2,3,"ENST00000529313,ENST00000530964,ENST00000533738"
1,2,"ENST00000529313,ENST00000533738"
1,2,"ENST00000529313,ENST00000533773"
1,2,"ENST00000529313,ENST00000533926"
33,1,"ENST00000529318"
54,2,"ENST00000529318,ENST00000531581"
5,1,"ENST00000529319"
1,3,"ENST00000529319,ENST00000532225,ENST00000682444"
24,1,"ENST00000529331"
2,5,"ENST00000529331,ENST00000530460,ENST00000607673,ENST00000662483,ENST00000663165"
1,2,"ENST00000529338,ENST00000533813"
4,1,"ENST00000529344"
5,1,"ENST00000529350"
3,1,"ENST00000529351"
4,2,"ENST00000529351,ENST00000531214"
5,1,"ENST00000529361"
224,1,"ENST00000529364"
3,2,"ENST00000529364,ENST00000532635"
24,1,"ENST00000529366"
22,1,"ENST00000529368"
61,1,"ENST00000529372"
1,2,"ENST00000529372,ENST00000532097"
119,1,"ENST00000529374"
6,2,"ENST00000529374,ENST00000529857"
6,1,"ENST00000529379"
8,1,"ENST00000529382"
152,1,"ENST00000529384"
14,1,"ENST00000529388"
15,1,"ENST00000529389"
9,1,"ENST00000529395"
9,1,"ENST00000529397"
16,1,"ENST00000529402"
158,1,"ENST00000529403"
30,1,"ENST00000529411"
1,1,"ENST00000529414"
19,1,"ENST00000529419"
1,1,"ENST00000529425"
15,1,"ENST00000529430"
4,1,"ENST00000529432"
2,9,"ENST00000529432,ENST00000529750,ENST00000534764,ENST00000632815,ENST00000633087,ENST00000633646,ENST00000635736,ENST00000638086,ENST00000638157"
26,4,"ENST00000529432,ENST00000529750,ENST00000635736,ENST00000646146"
3,2,"ENST00000529439,ENST00000529455"
26,1,"ENST00000529444"
75,1,"ENST00000529447"
1,1,"ENST00000529448"
15,1,"ENST00000529455"
120,1,"ENST00000529479"
1,2,"ENST00000529479,ENST00000532173"
1,2,"ENST00000529479,ENST00000534084"
9,1,"ENST00000529494"
1,2,"ENST00000529494,ENST00000530005"
3,1,"ENST00000529499"
52,1,"ENST00000529507"
10,1,"ENST00000529509"
3,1,"ENST00000529513"
2,4,"ENST00000529513,ENST00000529844,ENST00000679412,ENST00000679695"
3,1,"ENST00000529519"
107,1,"ENST00000529523"
1,2,"ENST00000529523,ENST00000531159"
19,1,"ENST00000529526"
1,2,"ENST00000529526,ENST00000529919"
1,2,"ENST00000529526,ENST00000531007"
3,3,"ENST00000529526,ENST00000531007,ENST00000673781"
10,2,"ENST00000529526,ENST00000673781"
6,1,"ENST00000529530"
2,4,"ENST00000529530,ENST00000531909,ENST00000532156,ENST00000532407"
8,1,"ENST00000529539"
65,1,"ENST00000529543"
256,1,"ENST00000529548"
123,2,"ENST00000529548,ENST00000534180"
6,3,"ENST00000529548,ENST00000534180,ENST00000620041"
424,1,"ENST00000529554"
1,4,"ENST00000529554,ENST00000529896,ENST00000532278,ENST00000532795"
4,3,"ENST00000529554,ENST00000530316,ENST00000532278"
5,2,"ENST00000529554,ENST00000532278"
1,3,"ENST00000529554,ENST00000533235,ENST00000533245"
2,2,"ENST00000529554,ENST00000533524"
19,1,"ENST00000529571"
9,1,"ENST00000529583"
2,2,"ENST00000529583,ENST00000529609"
2,2,"ENST00000529583,ENST00000532407"
17,1,"ENST00000529588"
4,1,"ENST00000529591"
52,1,"ENST00000529601"
12,1,"ENST00000529609"
1,4,"ENST00000529609,ENST00000531909,ENST00000533273,ENST00000682305"
59,1,"ENST00000529611"
1,2,"ENST00000529611,ENST00000529745"
1,1,"ENST00000529614"
41,1,"ENST00000529618"
3,1,"ENST00000529622"
196,1,"ENST00000529631"
81,3,"ENST00000529631,ENST00000530019,ENST00000532829"
71,1,"ENST00000529635"
207,2,"ENST00000529635,ENST00000542590"
873,1,"ENST00000529639"
102,1,"ENST00000529640"
47,1,"ENST00000529645"
24,1,"ENST00000529655"
2,5,"ENST00000529655,ENST00000577256,ENST00000580238,ENST00000581416,ENST00000582547"
1,2,"ENST00000529655,ENST00000683050"
131,1,"ENST00000529657"
5,1,"ENST00000529666"
3,1,"ENST00000529671"
1,5,"ENST00000529671,ENST00000533126,ENST00000534396,ENST00000679387,ENST00000680566"
7,1,"ENST00000529673"
107,1,"ENST00000529677"
3,1,"ENST00000529678"
104,1,"ENST00000529689"
4,2,"ENST00000529689,ENST00000529745"
35,1,"ENST00000529691"
35,1,"ENST00000529694"
30,1,"ENST00000529702"
375,1,"ENST00000529704"
2,4,"ENST00000529704,ENST00000530584,ENST00000532830,ENST00000543494"
14,1,"ENST00000529710"
9,1,"ENST00000529714"
38,1,"ENST00000529717"
2,1,"ENST00000529721"
3,2,"ENST00000529721,ENST00000532435"
1,2,"ENST00000529721,ENST00000533805"
174,1,"ENST00000529726"
23,1,"ENST00000529728"
13,1,"ENST00000529731"
10,3,"ENST00000529731,ENST00000533050,ENST00000627851"
6,1,"ENST00000529734"
20,1,"ENST00000529736"
134,1,"ENST00000529737"
24,1,"ENST00000529742"
3,1,"ENST00000529744"
25,1,"ENST00000529745"
6,2,"ENST00000529745,ENST00000533761"
8,1,"ENST00000529748"
7,1,"ENST00000529749"
24,1,"ENST00000529750"
16,4,"ENST00000529750,ENST00000635736,ENST00000638157,ENST00000646146"
1,3,"ENST00000529750,ENST00000635736,ENST00000646146"
1,1,"ENST00000529752"
333,1,"ENST00000529757"
29,1,"ENST00000529760"
2,2,"ENST00000529760,ENST00000530542"
93,1,"ENST00000529768"
22,1,"ENST00000529771"
80,1,"ENST00000529772"
18,2,"ENST00000529772,ENST00000531387"
12,1,"ENST00000529773"
4,1,"ENST00000529782"
1,2,"ENST00000529782,ENST00000533757"
232,1,"ENST00000529790"
2,2,"ENST00000529790,ENST00000688882"
390,2,"ENST00000529790,ENST00000689460"
4,1,"ENST00000529792"
5,1,"ENST00000529801"
25,1,"ENST00000529807"
30,2,"ENST00000529807,ENST00000534064"
1,3,"ENST00000529807,ENST00000534064,ENST00000534408"
10,1,"ENST00000529810"
3,1,"ENST00000529812"
1,1,"ENST00000529818"
1,1,"ENST00000529825"
5,1,"ENST00000529834"
5,1,"ENST00000529839"
90,1,"ENST00000529840"
6,2,"ENST00000529840,ENST00000530055"
10,1,"ENST00000529844"
16,1,"ENST00000529852"
39,3,"ENST00000529852,ENST00000649464,ENST00000649666"
3,2,"ENST00000529852,ENST00000649666"
43,1,"ENST00000529856"
28,1,"ENST00000529857"
24,1,"ENST00000529866"
1,2,"ENST00000529866,ENST00000555531"
74,1,"ENST00000529867"
21,1,"ENST00000529871"
1,2,"ENST00000529871,ENST00000640184"
15,1,"ENST00000529873"
2,3,"ENST00000529873,ENST00000531014,ENST00000532844"
1,4,"ENST00000529873,ENST00000531014,ENST00000532844,ENST00000674116"
4,2,"ENST00000529873,ENST00000532844"
11,1,"ENST00000529876"
29,1,"ENST00000529880"
20,1,"ENST00000529886"
12,1,"ENST00000529887"
7,1,"ENST00000529896"
9,1,"ENST00000529903"
1,2,"ENST00000529903,ENST00000610573"
6,1,"ENST00000529907"
2,2,"ENST00000529907,ENST00000534534"
30,1,"ENST00000529919"
2,3,"ENST00000529919,ENST00000531007,ENST00000673781"
1,2,"ENST00000529919,ENST00000673683"
113,1,"ENST00000529927"
13,2,"ENST00000529927,ENST00000533919"
25,1,"ENST00000529937"
6,1,"ENST00000529942"
6,1,"ENST00000529962"
29,1,"ENST00000529964"
3,1,"ENST00000529973"
26,1,"ENST00000529974"
1,2,"ENST00000529974,ENST00000678395"
37,1,"ENST00000529982"
11,1,"ENST00000529985"
4,1,"ENST00000529986"
1,3,"ENST00000529986,ENST00000530094,ENST00000532787"
2,4,"ENST00000529986,ENST00000530094,ENST00000532787,ENST00000673810"
1,3,"ENST00000529986,ENST00000530094,ENST00000673810"
9,2,"ENST00000529986,ENST00000673810"
1,3,"ENST00000529986,ENST00000673810,ENST00000674015"
1,4,"ENST00000529986,ENST00000673810,ENST00000674015,ENST00000683201"
1,3,"ENST00000529986,ENST00000673810,ENST00000683201"
88,1,"ENST00000529987"
6,1,"ENST00000529988"
16,1,"ENST00000529990"
187,1,"ENST00000529993"
15,1,"ENST00000529997"
2,2,"ENST00000529997,ENST00000533211"
37,1,"ENST00000530005"
10,2,"ENST00000530005,ENST00000530316"
10,2,"ENST00000530005,ENST00000532278"
5,1,"ENST00000530009"
4,2,"ENST00000530009,ENST00000532818"
1,1,"ENST00000530018"
278,1,"ENST00000530019"
13,2,"ENST00000530019,ENST00000532829"
2892,1,"ENST00000530022"
1,1,"ENST00000530023"
1,2,"ENST00000530023,ENST00000533642"
1,2,"ENST00000530023,ENST00000648582"
2,1,"ENST00000530027"
6,1,"ENST00000530043"
2,1,"ENST00000530044"
1,2,"ENST00000530044,ENST00000533737"
42,2,"ENST00000530044,ENST00000679999"
1,3,"ENST00000530044,ENST00000679999,ENST00000681203"
1,2,"ENST00000530044,ENST00000680742"
2,1,"ENST00000530050"
111,1,"ENST00000530054"
517,1,"ENST00000530055"
3,1,"ENST00000530056"
2,1,"ENST00000530058"
37,1,"ENST00000530063"
22,1,"ENST00000530064"
1,2,"ENST00000530064,ENST00000532325"
2,2,"ENST00000530064,ENST00000620138"
11,1,"ENST00000530067"
3,1,"ENST00000530068"
2,1,"ENST00000530069"
2,1,"ENST00000530081"
16,1,"ENST00000530094"
13,1,"ENST00000530103"
1,3,"ENST00000530103,ENST00000532244,ENST00000647561"
47,1,"ENST00000530106"
5,14,"ENST00000530106,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000646050,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679788,ENST00000679856,ENST00000680052,ENST00000680728,ENST00000680763,ENST00000681451"
2,13,"ENST00000530106,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000646050,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679788,ENST00000679856,ENST00000680052,ENST00000680763,ENST00000681451"
1,12,"ENST00000530106,ENST00000530203,ENST00000643839,ENST00000644686,ENST00000646050,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679856,ENST00000680052,ENST00000680763,ENST00000681451"
1,14,"ENST00000530106,ENST00000643839,ENST00000644686,ENST00000645500,ENST00000646050,ENST00000647080,ENST00000679616,ENST00000679708,ENST00000679856,ENST00000680052,ENST00000680532,ENST00000680979,ENST00000681164,ENST00000681451"
1,12,"ENST00000530106,ENST00000643839,ENST00000644686,ENST00000646050,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679856,ENST00000680052,ENST00000680532,ENST00000680728,ENST00000681451"
1,4,"ENST00000530106,ENST00000645439,ENST00000679708,ENST00000679960"
1,2,"ENST00000530106,ENST00000679960"
1,2,"ENST00000530106,ENST00000681200"
31,1,"ENST00000530108"
1,2,"ENST00000530108,ENST00000534458"
7,1,"ENST00000530111"
15,1,"ENST00000530112"
10,1,"ENST00000530114"
11,1,"ENST00000530124"
67,1,"ENST00000530131"
2,2,"ENST00000530131,ENST00000544551"
129,3,"ENST00000530131,ENST00000544551,ENST00000645495"
5,3,"ENST00000530131,ENST00000645495,ENST00000647231"
2,1,"ENST00000530135"
11,1,"ENST00000530136"
27,1,"ENST00000530137"
1,1,"ENST00000530139"
12,1,"ENST00000530151"
122,1,"ENST00000530153"
14,1,"ENST00000530156"
15,1,"ENST00000530159"
93,1,"ENST00000530164"
1,2,"ENST00000530164,ENST00000530170"
5,2,"ENST00000530164,ENST00000531188"
177,1,"ENST00000530165"
1,7,"ENST00000530165,ENST00000531354,ENST00000531863,ENST00000532019,ENST00000532677,ENST00000533725,ENST00000541961"
8,6,"ENST00000530165,ENST00000531863,ENST00000532019,ENST00000532677,ENST00000533725,ENST00000541961"
116,5,"ENST00000530165,ENST00000531863,ENST00000532677,ENST00000533725,ENST00000541961"
554,4,"ENST00000530165,ENST00000531863,ENST00000532677,ENST00000541961"
8,2,"ENST00000530165,ENST00000532019"
2,2,"ENST00000530165,ENST00000532677"
980,1,"ENST00000530167"
655,1,"ENST00000530170"
4,2,"ENST00000530170,ENST00000531188"
3,2,"ENST00000530170,ENST00000534440"
39,1,"ENST00000530175"
1,3,"ENST00000530175,ENST00000530712,ENST00000680141"
20,1,"ENST00000530180"
84,1,"ENST00000530181"
7,2,"ENST00000530181,ENST00000534552"
1,2,"ENST00000530181,ENST00000684215"
2,1,"ENST00000530183"
118,1,"ENST00000530188"
27,1,"ENST00000530203"
2,2,"ENST00000530203,ENST00000643839"
24,5,"ENST00000530203,ENST00000644686,ENST00000645439,ENST00000680979,ENST00000681451"
18,2,"ENST00000530203,ENST00000645439"
7,1,"ENST00000530204"
7,2,"ENST00000530204,ENST00000533166"
60,1,"ENST00000530205"
1,1,"ENST00000530210"
25,1,"ENST00000530211"
45,1,"ENST00000530214"
2,2,"ENST00000530221,ENST00000641815"
7,1,"ENST00000530234"
43,1,"ENST00000530235"
1,1,"ENST00000530240"
83,1,"ENST00000530251"
250,1,"ENST00000530257"
10,1,"ENST00000530266"
8,3,"ENST00000530266,ENST00000532081,ENST00000532505"
8,1,"ENST00000530267"
22,1,"ENST00000530269"
45,1,"ENST00000530272"
6,1,"ENST00000530277"
7,1,"ENST00000530278"
1,1,"ENST00000530279"
18,1,"ENST00000530281"
9,1,"ENST00000530284"
1,3,"ENST00000530284,ENST00000533603,ENST00000649490"
6,1,"ENST00000530285"
52,1,"ENST00000530295"
6,1,"ENST00000530301"
3,3,"ENST00000530301,ENST00000645495,ENST00000647231"
72,1,"ENST00000530304"
1,2,"ENST00000530304,ENST00000690938"
3,1,"ENST00000530311"
5,1,"ENST00000530316"
9,1,"ENST00000530318"
1,1,"ENST00000530320"
381,1,"ENST00000530322"
2,2,"ENST00000530322,ENST00000533595"
265,1,"ENST00000530326"
1,1,"ENST00000530334"
4,12,"ENST00000530334,ENST00000531352,ENST00000532485,ENST00000534206,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000681251,ENST00000681257,ENST00000681375,ENST00000681411,ENST00000681955"
276,1,"ENST00000530342"
21,1,"ENST00000530348"
13,1,"ENST00000530349"
29,1,"ENST00000530356"
1,1,"ENST00000530357"
1,1,"ENST00000530360"
2,1,"ENST00000530390"
901,1,"ENST00000530391"
68,1,"ENST00000530393"
2,1,"ENST00000530395"
27,1,"ENST00000530396"
12,2,"ENST00000530396,ENST00000688672"
1,3,"ENST00000530396,ENST00000688672,ENST00000689387"
3,2,"ENST00000530396,ENST00000690149"
177,1,"ENST00000530398"
61,2,"ENST00000530398,ENST00000530797"
141,1,"ENST00000530401"
100,2,"ENST00000530401,ENST00000534136"
10,1,"ENST00000530402"
2,1,"ENST00000530403"
2,1,"ENST00000530404"
2,2,"ENST00000530405,ENST00000532457"
283,1,"ENST00000530413"
